city,date,zoom,i,j,0,1,2,3,4,5,6,7,8,height
sp,summer,16,24263,37163,True,False,True,False,True,True,False,True,True,6.470588235294117
sp,summer,16,24263,37164,False,True,True,False,True,True,True,True,False,6.47058823529412
sp,summer,16,24263,37165,False,True,True,True,True,False,True,True,False,6.470588235294118
sp,summer,16,24263,37166,True,True,False,True,True,False,True,True,True,6.470588235294118
sp,summer,16,24263,37167,True,True,False,True,True,True,True,False,True,7.132352941176472
sp,summer,16,24263,37169,True,False,True,True,True,True,True,False,True,16.6617053862249
sp,summer,16,24263,37171,True,False,True,True,True,True,True,True,True,53.22087244097447
sp,summer,16,24263,37172,True,True,True,True,True,True,True,True,True,6.535788055680287
sp,summer,16,24263,37173,True,True,True,True,True,True,True,True,True,9.433893640271844
sp,summer,16,24263,37174,True,True,True,True,True,True,True,True,True,8.44627420023232
sp,summer,16,24263,37175,True,True,True,True,True,True,True,True,True,5.894468144321379
sp,summer,16,24263,37176,True,True,True,True,True,True,True,True,True,4.601628356086105
sp,summer,16,24263,37177,True,True,True,True,True,True,True,True,True,8.596207987642325
sp,summer,16,24263,37178,True,True,True,True,True,True,True,True,True,8.964228854838042
sp,summer,16,24263,37179,True,True,True,True,True,True,True,True,True,15.649122284886632
sp,summer,16,24263,37180,True,True,True,True,True,True,True,True,True,6.5484364422797965
sp,summer,16,24263,37181,True,True,True,True,True,True,True,True,True,8.49375586254769
sp,summer,16,24263,37182,True,True,True,True,True,True,True,True,True,11.1892168775165
sp,summer,16,24263,37183,True,True,True,True,True,True,True,True,True,8.147221319467015
sp,summer,16,24263,37184,True,True,True,True,True,True,True,True,True,6.62676883050955
sp,summer,16,24263,37185,True,True,True,True,True,True,True,True,True,5.18186781602284
sp,summer,16,24263,37186,True,True,True,True,True,True,True,True,True,5.251236125494086
sp,summer,16,24263,37187,True,True,True,True,True,True,True,True,False,6.216189039718453
sp,summer,16,24263,37188,True,True,True,True,True,False,True,True,True,6.470588235294119
sp,summer,16,24263,37189,True,True,False,True,True,True,True,True,True,6.470588235294118
sp,summer,16,24263,37190,True,True,True,True,True,True,True,True,True,6.654269449715371
sp,summer,16,24263,37191,True,True,True,True,True,True,True,True,True,6.470588235294118
sp,summer,16,24263,37192,True,True,True,True,True,True,True,False,True,6.470588235294118
sp,summer,16,24264,37163,False,True,False,True,True,True,True,True,True,6.470588235294118
sp,summer,16,24264,37164,True,True,True,True,True,True,True,False,True,6.470588235294118
sp,summer,16,24264,37167,True,False,False,True,True,True,False,True,False,6.470588235294118
sp,summer,16,24264,37168,True,True,True,False,True,False,True,True,False,5.651646972254687
sp,summer,16,24264,37169,False,True,False,True,True,False,False,True,True,9.27103099304238
sp,summer,16,24264,37170,True,True,False,False,True,True,True,True,True,6.470588235294119
sp,summer,16,24264,37171,False,True,True,True,True,True,True,True,True,6.470588235294118
sp,summer,16,24264,37172,True,True,True,True,True,True,True,True,True,6.470588235294119
sp,summer,16,24264,37173,True,True,True,True,True,True,True,True,True,9.277512681447064
sp,summer,16,24264,37174,True,True,True,True,True,True,True,True,True,10.293295961226438
sp,summer,16,24264,37175,True,True,True,True,True,True,True,True,True,6.630312547119866
sp,summer,16,24264,37176,True,True,True,True,True,True,True,True,True,5.414460784313725
sp,summer,16,24264,37177,True,True,True,True,True,True,True,True,True,4.858303172107874
sp,summer,16,24264,37178,True,True,True,True,True,True,True,True,True,11.924396586672994
sp,summer,16,24264,37179,True,True,True,True,True,True,True,True,True,10.366791174806975
sp,summer,16,24264,37180,True,True,True,True,True,True,True,True,True,5.421591102810777
sp,summer,16,24264,37181,True,True,True,True,True,True,True,True,True,5.946543812501143
sp,summer,16,24264,37182,True,True,True,True,True,True,True,True,True,6.5147593503528896
sp,summer,16,24264,37183,True,True,True,True,True,True,True,True,True,6.475852177563027
sp,summer,16,24264,37184,True,True,True,True,True,True,True,True,True,5.420270627290166
sp,summer,16,24264,37185,True,True,True,True,True,True,True,True,True,6.823010229385724
sp,summer,16,24264,37186,True,True,True,True,True,True,True,True,True,5.97905828998266
sp,summer,16,24264,37187,True,True,True,True,True,True,True,False,True,6.470588235294119
sp,summer,16,24264,37189,True,False,True,True,True,True,True,True,True,6.470588235294119
sp,summer,16,24264,37190,True,True,True,True,True,True,True,True,True,6.470588235294119
sp,summer,16,24264,37191,True,True,True,True,True,True,True,True,True,6.470588235294119
sp,summer,16,24264,37192,True,True,True,True,True,True,False,True,True,6.470588235294119
sp,summer,16,24264,37193,True,True,True,False,True,True,False,True,True,6.470588235294119
sp,summer,16,24265,37163,True,False,True,True,True,True,True,True,True,6.47058823529412
sp,summer,16,24265,37164,True,True,True,True,True,True,False,True,True,6.470588235294118
sp,summer,16,24265,37165,True,True,True,False,True,True,False,False,True,6.470588235294119
sp,summer,16,24265,37167,False,False,True,True,True,False,True,False,False,6.996904024767802
