city,height bin,numer of tiles,rmse,mae,mse,sobel,ssim
dc,[0-8),1395,0.0733,0.0288,0.0078,0.0523,0.892
dc,[8-14),82,0.0932,0.0386,0.0114,0.0539,0.8529
dc,>=14,58,0.1283,0.0595,0.0198,0.0509,0.7922
nyc,[0-8),1276,0.0725,0.031,0.0073,0.0555,0.9055
nyc,[8-14),1703,0.0827,0.0374,0.0084,0.0508,0.8846
nyc,>=14,750,0.0967,0.0478,0.0114,0.036,0.8306
joh,[0-8),1924,0.0264,0.0092,0.0012,0.0069,0.8769
joh,[8-14),36,0.0592,0.0259,0.0045,0.0267,0.8106
joh,>=14,30,0.0827,0.0406,0.0077,0.0489,0.8119
bue,[0-8),981,0.0415,0.0128,0.0028,0.0131,0.9231
bue,[8-14),27,0.0756,0.0359,0.0089,0.0282,0.8291
bue,>=14,29,0.0963,0.0472,0.0123,0.0253,0.7647
bos,[0-8),1291,0.0704,0.0285,0.007,0.0433,0.9044
bos,[8-14),26,0.1608,0.0674,0.0313,0.1048,0.7568
bos,>=14,23,0.1869,0.1013,0.0414,0.0987,0.695
sea,[0-8),1166,0.0583,0.0332,0.004,0.028,0.859
sea,[8-14),21,0.1163,0.0642,0.0149,0.0351,0.7587
sea,>=14,16,0.1163,0.0664,0.0147,0.0285,0.8456
tok,[0-8),1440,0.079,0.04,0.0084,0.0495,0.806
tok,[8-14),82,0.1268,0.0705,0.0192,0.063,0.7385
tok,>=14,95,0.1296,0.0783,0.02,0.0506,0.71
dc,[0-8),1395,0.0733,0.0288,0.0078,0.0523,0.892
dc,[8-14),82,0.0932,0.0386,0.0114,0.0539,0.8529
dc,>=14,58,0.1283,0.0595,0.0198,0.0509,0.7922
nyc,[0-8),1276,0.0725,0.031,0.0073,0.0555,0.9055
nyc,[8-14),1703,0.0827,0.0374,0.0084,0.0508,0.8846
nyc,>=14,750,0.0967,0.0478,0.0114,0.036,0.8306
joh,[0-8),1924,0.0264,0.0092,0.0012,0.0069,0.8769
joh,[8-14),36,0.0592,0.0259,0.0045,0.0267,0.8106
joh,>=14,30,0.0827,0.0406,0.0077,0.0489,0.8119
bue,[0-8),981,0.0415,0.0128,0.0028,0.0131,0.9231
bue,[8-14),27,0.0756,0.0359,0.0089,0.0282,0.8291
bue,>=14,29,0.0963,0.0472,0.0123,0.0253,0.7647
bos,[0-8),1291,0.0704,0.0285,0.007,0.0433,0.9044
bos,[8-14),26,0.1608,0.0674,0.0313,0.1048,0.7568
bos,>=14,23,0.1869,0.1013,0.0414,0.0987,0.695
sea,[0-8),1166,0.0583,0.0332,0.004,0.028,0.859
sea,[8-14),21,0.1163,0.0642,0.0149,0.0351,0.7587
sea,>=14,16,0.1163,0.0664,0.0147,0.0285,0.8456
tok,[0-8),1440,0.079,0.04,0.0084,0.0495,0.806
tok,[8-14),82,0.1268,0.0705,0.0192,0.063,0.7385
tok,>=14,95,0.1296,0.0783,0.02,0.0506,0.71
