i,j,height
14951,26964,11.102303952652719
14951,26965,8.771652158621297
14951,26966,7.0918044637209725
14951,26967,5.792377131394184
14951,26968,6.835874050990822
14951,26969,7.930207047854108
14951,26970,7.902719890001289
14951,26971,20.141779788838612
14951,26972,10.721025499401641
14951,26973,10.516204460561385
14951,26974,8.896277351520318
14951,26975,11.337706433434661
14951,26976,12.209128684586416
14951,26977,18.136118931199682
14951,26978,11.116167870657035
14951,26979,10.885295294588426
14951,26980,11.783967995258557
14951,26981,15.85119060836868
14951,26982,13.956060760526048
14951,26983,14.146084575280426
14951,26984,7.02938125457652
14951,26985,14.35969259498671
14951,26986,11.554815636946602
14951,26987,4.2835595776772255
14951,26988,6.454122043096326
14951,26989,7.135741259875355
14951,26990,8.719508367902403
14951,26991,8.288378390854117
14951,26992,8.221413263765331
14951,26993,7.334797667164725
14951,26994,7.923298731257209
14951,26995,10.104961930213278
14951,26996,9.574438174040528
14951,26997,8.674904220462412
14951,26998,8.345827775989207
14952,26959,4.976657329598505
14952,26960,12.246417797888386
14952,26961,12.14381051405143
14952,26962,12.176170659468378
14952,26963,10.904989261267943
14952,26964,7.922625840459641
14952,26965,7.040897535948572
14952,26966,5.941485371342836
14952,26967,8.370203382212484
14952,26968,11.279529411764706
14952,26969,9.393127719699729
14952,26970,12.881263616557737
14952,26971,14.038664149395785
14952,26972,9.492785110350697
14952,26973,9.387100752250586
14952,26974,8.168024985677588
14952,26975,10.828640228021031
14952,26976,12.348798674399337
14952,26977,10.978067926763963
14952,26978,12.555425073840786
14952,26979,11.188765173422915
14952,26980,11.7750402080553
14952,26981,14.943193784014452
14952,26982,13.934934899096582
14952,26985,6.470588235294117
14952,26986,8.481844098336975
14952,26987,7.439396613859348
14952,26988,6.54426988186579
14952,26989,6.652255699027578
14952,26990,8.15446417254122
14952,26991,7.144654666312514
14952,26992,7.766454565611181
14952,26993,7.692284026581344
14952,26994,8.070532088421643
14952,26995,12.778125730701138
14952,26996,9.594831856631366
14952,26997,7.274964964605267
14952,26998,8.570928073433066
14953,26958,11.506985420848793
14953,26959,13.998039215686276
14953,26960,11.881862233944672
14953,26961,12.263227217376178
14953,26962,12.263000365734417
14953,26963,13.332840178324851
14953,26964,7.320919734800396
14953,26965,8.860007796472239
14953,26966,10.721434888586899
14953,26967,9.203445540065736
14953,26968,12.174565086982604
14953,26969,12.688123495012038
14953,26970,13.036355903617991
14953,26971,12.577873352024753
14953,26972,7.188947569097975
14953,26973,11.008769042865188
14953,26974,10.753054845126456
14953,26975,9.44428833104367
