i,j,height
22114,39474,6.470588235294118
22114,39475,6.470588235294117
22114,39476,6.4705882352941195
22114,39477,6.470588235294118
22114,39478,6.470588235294118
22114,39479,6.470588235294117
22114,39481,6.470588235294118
22114,39482,6.148298399819698
22114,39483,6.470588235294118
22114,39484,6.470588235294118
22114,39485,6.470588235294117
22114,39486,6.470588235294117
22114,39487,6.470588235294118
22114,39488,6.470588235294119
22114,39489,6.470588235294117
22114,39490,6.470588235294117
22114,39491,6.470588235294117
22114,39492,6.470588235294119
22114,39493,6.470588235294118
22114,39494,6.470588235294118
22114,39495,6.470588235294118
22114,39496,6.470588235294117
22114,39497,6.470588235294118
22114,39498,6.4705882352941195
22114,39499,6.470588235294119
22114,39500,6.470588235294119
22114,39502,6.470588235294118
22114,39503,6.470588235294118
22114,39504,6.470588235294119
22114,39505,6.470588235294118
22114,39506,6.470588235294118
22114,39507,6.470588235294119
22114,39508,6.470588235294118
22114,39509,6.470588235294119
22115,39474,6.470588235294118
22115,39475,6.470588235294119
22115,39476,6.470588235294119
22115,39477,6.470588235294118
22115,39479,6.4705882352941195
22115,39480,6.470588235294118
22115,39481,6.470588235294118
22115,39482,6.820538633331541
22115,39483,6.470588235294118
22115,39484,6.470588235294118
22115,39485,6.470588235294118
22115,39486,6.470588235294119
22115,39487,6.470588235294119
22115,39488,6.470588235294118
22115,39489,6.470588235294119
22115,39490,6.470588235294118
22115,39491,6.470588235294118
22115,39492,6.470588235294119
22115,39493,6.470588235294119
22115,39494,6.470588235294119
22115,39495,6.470588235294118
22115,39496,6.470588235294117
22115,39497,6.470588235294119
22115,39498,6.470588235294118
22115,39499,6.470588235294118
22115,39500,6.470588235294118
22115,39501,6.470588235294118
22115,39502,6.470588235294118
22115,39505,6.470588235294119
22115,39506,6.470588235294119
22115,39507,6.470588235294119
22115,39508,6.470588235294119
22115,39509,6.470588235294117
22115,39510,6.470588235294119
22116,39474,6.470588235294118
22116,39475,6.470588235294118
22116,39476,6.470588235294118
22116,39477,6.470588235294119
22116,39478,6.470588235294118
22116,39479,6.470588235294118
22116,39480,6.470588235294119
22116,39481,6.893809849521204
22116,39482,17.943355119825707
22116,39483,15.639714079611782
22116,39484,6.470588235294119
22116,39485,6.470588235294119
22116,39486,6.470588235294118
22116,39487,6.470588235294118
22116,39488,6.470588235294118
22116,39489,6.470588235294118
22116,39490,6.4705882352941195
22116,39491,6.470588235294119
22116,39492,6.470588235294119
22116,39493,6.470588235294118
22116,39494,6.470588235294119
22116,39495,6.470588235294118
22116,39496,6.470588235294118
22116,39497,6.470588235294117
22116,39498,6.470588235294119
22116,39499,6.470588235294119
22116,39500,6.470588235294119
22116,39501,6.470588235294119
22116,39502,6.470588235294118
22116,39503,6.470588235294119
22116,39505,6.470588235294118
22116,39506,6.470588235294118
22116,39508,6.470588235294119
22116,39509,6.470588235294118
22116,39510,6.470588235294119
22117,39474,6.470588235294119
22117,39475,6.470588235294118
22117,39476,6.470588235294119
22117,39477,6.470588235294119
22117,39478,6.470588235294117
22117,39479,6.470588235294119
22117,39480,6.470588235294118
22117,39481,6.470588235294119
22117,39482,6.701882764474394
22117,39483,6.470588235294117
22117,39484,6.470588235294118
22117,39485,6.470588235294118
22117,39486,6.470588235294119
22117,39487,6.470588235294118
22117,39488,6.470588235294118
22117,39489,6.470588235294119
22117,39490,6.470588235294118
22117,39491,6.470588235294119
22117,39492,6.470588235294117
22117,39493,6.470588235294118
22117,39494,6.470588235294119
22117,39495,6.470588235294119
22117,39496,6.470588235294119
22117,39497,6.470588235294118
22117,39498,6.470588235294118
22117,39499,6.470588235294119
22117,39500,6.470588235294119
22117,39501,6.470588235294118
22117,39502,6.470588235294118
22117,39503,6.470588235294119
