i,j,height
16791,24332,6.470588235294118
16791,24333,6.470588235294118
16791,24334,6.470588235294117
16791,24335,6.470588235294117
16791,24336,6.470588235294118
16791,24337,6.470588235294118
16791,24338,6.470588235294118
16791,24339,6.470588235294118
16791,24340,6.470588235294117
16791,24341,6.470588235294118
16791,24342,6.470588235294118
16791,24343,6.470588235294117
16791,24344,6.470588235294116
16791,24345,6.470588235294118
16791,24346,6.470588235294118
16791,24347,6.470588235294117
16791,24348,6.470588235294117
16791,24349,6.470588235294117
16791,24350,6.470588235294118
16791,24351,6.470588235294117
16791,24352,6.470588235294116
16791,24353,6.470588235294116
16791,24354,6.470588235294118
16791,24355,6.470588235294118
16791,24356,6.470588235294119
16791,24357,6.470588235294118
16791,24358,6.470588235294117
16791,24359,6.470588235294118
16791,24360,6.470588235294117
16791,24362,6.470588235294118
16791,24363,6.470588235294117
16791,24364,6.470588235294118
16791,24366,6.470588235294118
16791,24367,6.470588235294117
16791,24369,6.470588235294119
16791,24370,6.470588235294118
16791,24371,6.470588235294119
16791,24372,6.470588235294119
16791,24375,6.470588235294118
16791,24376,6.470588235294118
16791,24377,6.470588235294117
16791,24378,6.470588235294117
16791,24379,6.470588235294119
16791,24380,6.470588235294119
16791,24381,6.470588235294118
16791,24382,6.470588235294117
16791,24383,6.470588235294118
16791,24384,6.470588235294117
16791,24385,6.470588235294118
16791,24386,6.470588235294117
16792,24332,6.470588235294119
16792,24333,6.470588235294117
16792,24334,6.470588235294118
16792,24335,6.470588235294117
16792,24336,6.470588235294117
16792,24337,6.470588235294117
16792,24338,6.470588235294118
16792,24339,6.470588235294118
16792,24340,6.470588235294117
16792,24341,6.470588235294117
16792,24342,6.470588235294116
16792,24343,6.470588235294118
16792,24344,6.470588235294118
16792,24345,6.470588235294118
16792,24346,6.470588235294118
16792,24347,6.470588235294118
16792,24348,6.470588235294118
16792,24349,6.470588235294117
16792,24350,6.470588235294117
16792,24351,6.470588235294116
16792,24352,6.470588235294118
16792,24353,6.470588235294118
16792,24354,6.470588235294117
16792,24355,6.470588235294118
16792,24356,6.470588235294117
16792,24357,6.470588235294118
16792,24358,6.470588235294118
16792,24359,6.470588235294119
16792,24360,6.470588235294117
16792,24363,6.470588235294117
16792,24364,6.470588235294118
16792,24365,6.470588235294119
16792,24367,6.470588235294119
16792,24369,6.470588235294119
16792,24371,6.470588235294119
16792,24372,6.470588235294117
16792,24373,6.470588235294118
16792,24374,6.470588235294116
16792,24375,6.470588235294119
16792,24376,6.470588235294118
16792,24377,6.470588235294117
16792,24378,6.470588235294118
16792,24379,6.470588235294118
16792,24380,6.470588235294119
16792,24381,6.470588235294119
16792,24382,6.470588235294118
16792,24383,6.470588235294117
16792,24384,6.470588235294118
16792,24385,6.470588235294116
16792,24386,6.470588235294117
16793,24332,6.470588235294117
16793,24333,6.470588235294117
16793,24334,6.470588235294118
16793,24335,6.470588235294118
16793,24336,6.470588235294117
16793,24337,6.470588235294118
