i,j,height
11193,26161,6.958255229254069
11193,26162,7.1568627450980395
11193,26164,4.313725490196078
11193,26166,5.875591615956728
11193,26167,6.80081135902637
11193,26168,7.3414029037745605
11193,26169,7.752271114188881
11193,26170,8.490586600550364
11193,26171,8.314171940169711
11193,26172,7.8364701795256915
11193,26173,13.79373601643141
11193,26174,14.622253822746455
11193,26175,6.470588235294119
11194,26156,6.11058012569873
11194,26157,6.659283868586195
11194,26159,5.499724186349732
11194,26160,6.810067310506293
11194,26161,6.809935285976135
11194,26162,6.286823461601885
11194,26163,6.135595883415823
11194,26164,5.845642863386068
11194,26165,8.904267589388697
11194,26166,8.686601826740237
11194,26167,8.195844074681665
11194,26168,8.07708906644087
11194,26169,8.133976640090221
11194,26170,7.870144284128746
11194,26171,7.6734703333873915
11194,26172,8.100808404425734
11194,26173,7.490517189475585
11194,26174,11.817808143087264
11194,26175,12.010996612757028
11194,26176,6.470588235294118
11195,26156,5.88162940452934
11195,26157,7.760928126039687
11195,26158,8.614983565680609
11195,26159,6.525368649396909
11195,26160,5.946938360836564
11195,26161,7.430320136959063
11195,26162,7.116732008254238
11195,26163,6.642966178625946
11195,26164,6.60452965529456
11195,26165,7.2104469318091615
11195,26166,7.898267587289694
11195,26167,7.838864359303043
11195,26168,7.940323519377046
11195,26169,7.27040718055395
11195,26170,7.245953905595634
11195,26171,7.030844807337906
11195,26172,6.777363292174468
11195,26173,7.925150270769016
11195,26174,10.062833069904922
11195,26175,19.073357294258592
11195,26176,20.443638994059164
11195,26177,6.731560951782848
11196,26156,10.422945382118852
11196,26157,10.784313725490195
11196,26159,2.5653594771241828
11196,26160,4.313725490196078
11196,26161,8.321741229128726
11196,26162,8.187432029374078
11196,26163,7.283749181465552
11196,26164,7.024078957385989
11196,26165,7.357708929302437
11196,26166,6.761454581832734
11196,26167,6.197745557812626
11196,26168,6.908124489481846
11196,26169,7.547260339698685
11196,26170,7.306521537573041
11196,26171,6.89496133479365
11196,26172,7.374056122239525
11196,26173,9.187593144423392
11196,26174,11.367172296707869
11196,26175,15.327015576202244
11196,26176,17.950539407418766
11196,26177,9.2658049766992
11197,26156,9.700382205376242
11197,26161,6.124601949713796
11197,26162,6.175529945806859
11197,26163,5.99643308919746
11197,26164,7.4624362394122326
11197,26165,8.252104865255754
11197,26166,8.660871684750237
11197,26167,8.369364839953073
11197,26168,8.329794762915782
11197,26169,7.635073109392157
11197,26170,7.461499367679561
11197,26171,7.3110136174376406
11197,26172,7.984446442503249
11197,26173,9.3290527189296
11197,26174,8.853511990486997
11197,26175,10.853475146392928
11197,26176,13.800606530885377
11197,26177,15.534715525554482
11197,26178,13.748593024128356
11197,26179,3.733031674208145
11198,26156,9.996872260474623
11198,26160,7.723690131790421
11198,26161,6.44306720136104
11198,26162,6.7806545448448725
11198,26163,6.044063325345746
11198,26164,6.944211193117367
11198,26165,7.18387298084906
11198,26166,8.04493230168367
11198,26167,7.935312161674486
11198,26168,7.741141085137873
11198,26169,8.397021099068871
11198,26170,7.377509756900362
11198,26171,6.625631446700559
11198,26172,8.228279480806407
11198,26173,11.847960565534866
11198,26174,7.919732002717454
11198,26175,7.357575522906739
11198,26176,7.670512825283191
11198,26177,9.162733536305982
11198,26178,7.706878271878519
11198,26179,13.156297169551465
