i,j,height
24263,37163,6.470588235294117
24263,37164,6.4705882352941195
24263,37165,6.470588235294118
24263,37166,6.470588235294118
24263,37167,7.132352941176472
24263,37169,16.6617053862249
24263,37171,53.22087244097447
24263,37172,6.535788055680287
24263,37173,9.433893640271844
24263,37174,8.44627420023232
24263,37175,5.894468144321379
24263,37176,4.601628356086105
24263,37177,8.596207987642325
24263,37178,8.964228854838042
24263,37179,15.649122284886632
24263,37180,6.5484364422797965
24263,37181,8.49375586254769
24263,37182,11.189216877516499
24263,37183,8.147221319467015
24263,37184,6.62676883050955
24263,37185,5.18186781602284
24263,37186,5.251236125494086
24263,37187,6.216189039718453
24263,37188,6.470588235294119
24263,37189,6.470588235294118
24263,37190,6.654269449715371
24263,37191,6.470588235294118
24263,37192,6.470588235294118
24264,37163,6.470588235294118
24264,37164,6.470588235294118
24264,37167,6.470588235294118
24264,37168,5.651646972254687
24264,37169,9.271030993042379
24264,37170,6.470588235294119
24264,37171,6.470588235294118
24264,37172,6.470588235294119
24264,37173,9.277512681447064
24264,37174,10.293295961226438
24264,37175,6.630312547119866
24264,37176,5.414460784313725
24264,37177,4.858303172107874
24264,37178,11.924396586672994
24264,37179,10.366791174806977
24264,37180,5.421591102810777
24264,37181,5.946543812501143
24264,37182,6.5147593503528896
24264,37183,6.475852177563027
24264,37184,5.420270627290166
24264,37185,6.823010229385724
24264,37186,5.97905828998266
24264,37187,6.470588235294119
24264,37189,6.470588235294119
24264,37190,6.470588235294119
24264,37191,6.470588235294119
24264,37192,6.470588235294119
24264,37193,6.470588235294119
24265,37163,6.4705882352941195
24265,37164,6.470588235294118
24265,37165,6.470588235294119
24265,37167,6.996904024767802
24265,37170,16.196441539578796
24265,37171,13.580385360383321
24265,37172,10.567241886047778
24265,37173,9.747824092052664
24265,37174,6.262834506410318
24265,37175,8.307819859970131
24265,37176,7.0529716222040335
24265,37177,6.820493573865105
24265,37178,11.163548801126746
24265,37179,9.411416782982066
24265,37180,5.4696308380263154
24265,37181,5.821884184437966
24265,37182,5.487457456629877
24265,37183,6.112078859695559
24265,37184,5.213095380139886
24265,37185,9.740804656041687
24265,37186,5.832617569347306
24265,37187,6.470588235294119
24265,37188,6.470588235294118
24265,37189,6.470588235294117
24265,37190,6.470588235294118
24265,37191,6.470588235294116
24265,37192,6.470588235294119
24265,37193,6.470588235294119
24266,37163,6.470588235294118
24266,37164,6.470588235294119
24266,37165,6.470588235294119
24266,37166,6.470588235294117
24266,37169,6.470588235294119
24266,37170,6.470588235294119
24266,37171,6.745985892276005
24266,37172,6.470588235294119
24266,37173,8.066346772076137
24266,37174,7.868230354089171
24266,37175,8.971592557030162
24266,37176,9.527133466326084
24266,37177,6.083612318718575
24266,37178,9.057650707033337
24266,37179,8.386849737586276
24266,37180,6.127274519126403
24266,37181,8.415673748146576
24266,37182,6.009455956295563
24266,37183,8.967573512847355
24266,37184,10.855708136913302
24266,37185,15.27779092905912
24266,37186,6.470588235294117
24266,37187,6.470588235294118
24266,37188,6.470588235294119
24266,37190,6.470588235294118
24266,37191,6.470588235294116
24266,37192,6.470588235294118
24266,37193,6.470588235294118
