i,j,height
60276,39321,6.470588235294118
60276,39323,6.470588235294118
60276,39324,6.470588235294119
60276,39327,6.470588235294117
60276,39328,6.470588235294118
60276,39329,6.470588235294117
60276,39330,6.470588235294118
60276,39331,6.470588235294117
60276,39332,6.470588235294118
60276,39333,6.470588235294118
60276,39334,6.470588235294119
60276,39336,6.470588235294118
60276,39337,6.470588235294119
60276,39338,6.470588235294117
60276,39340,6.470588235294118
60276,39342,6.470588235294118
60276,39343,6.470588235294119
60276,39344,6.470588235294118
60276,39345,6.470588235294118
60276,39347,6.470588235294117
60276,39348,6.470588235294118
60276,39349,8.4712466349544
60276,39352,6.470588235294119
60276,39353,6.470588235294119
60276,39354,6.470588235294119
60277,39322,6.470588235294119
60277,39327,6.4705882352941195
60277,39328,6.470588235294119
60277,39329,6.470588235294119
60277,39330,6.470588235294118
60277,39331,6.470588235294117
60277,39333,6.470588235294118
60277,39335,6.470588235294117
60277,39336,6.470588235294118
60277,39337,6.470588235294118
60277,39338,6.470588235294119
60277,39339,6.470588235294118
60277,39341,6.470588235294118
60277,39342,6.470588235294119
60277,39343,6.470588235294117
60277,39344,6.470588235294117
60277,39345,6.470588235294118
60277,39347,6.470588235294119
60277,39348,6.470588235294117
60277,39349,6.470588235294118
60277,39352,6.470588235294118
60277,39353,6.470588235294117
60277,39354,6.470588235294119
60277,39355,6.470588235294119
60278,39321,6.470588235294119
60278,39324,6.470588235294119
60278,39327,6.470588235294118
60278,39328,6.470588235294119
60278,39329,6.470588235294119
60278,39330,6.470588235294118
60278,39331,6.470588235294117
60278,39332,6.470588235294118
60278,39333,6.470588235294119
60278,39334,6.470588235294118
60278,39335,6.470588235294119
60278,39336,6.470588235294117
60278,39337,6.470588235294119
60278,39338,6.470588235294118
60278,39341,6.470588235294118
60278,39342,6.470588235294117
60278,39343,6.470588235294119
60278,39344,6.470588235294119
60278,39345,6.4705882352941195
60278,39347,6.470588235294119
60278,39349,6.470588235294119
60278,39351,6.470588235294119
60278,39352,6.470588235294119
60278,39353,6.470588235294117
60278,39354,6.470588235294118
60278,39355,6.4705882352941195
60279,39321,6.470588235294119
60279,39322,6.470588235294118
60279,39326,6.470588235294119
60279,39327,6.470588235294117
60279,39328,7.724834476289356
60279,39329,10.882476884559134
60279,39330,6.470588235294119
60279,39331,6.470588235294118
60279,39332,6.470588235294117
60279,39333,6.470588235294118
60279,39334,6.470588235294119
60279,39335,6.470588235294118
60279,39336,6.470588235294118
60279,39337,6.470588235294117
60279,39340,6.4705882352941195
60279,39341,6.470588235294117
60279,39342,6.470588235294117
60279,39343,6.470588235294118
60279,39345,6.470588235294118
60279,39349,6.470588235294118
60279,39350,6.470588235294118
60279,39351,6.470588235294117
60280,39321,6.470588235294118
60280,39323,6.470588235294117
60280,39324,6.470588235294118
60280,39325,6.470588235294118
60280,39328,6.4705882352941195
60280,39329,6.470588235294117
60280,39330,6.470588235294118
60280,39331,6.470588235294117
60280,39332,6.470588235294118
60280,39333,6.470588235294117
60280,39334,6.470588235294117
60280,39335,6.470588235294117
60280,39336,6.470588235294118
60280,39337,6.470588235294117
60280,39341,6.470588235294117
60280,39342,6.470588235294118
60280,39343,6.470588235294118
60280,39344,6.470588235294119
60280,39345,6.470588235294119
60280,39346,6.470588235294119
60280,39347,6.470588235294118
60280,39348,6.981765185860709
60280,39349,6.910982334595918
60280,39350,6.470588235294118
60280,39351,6.470588235294119
60280,39352,6.470588235294118
60280,39353,6.470588235294118
60281,39321,6.470588235294119
60281,39323,6.470588235294118
